domain_composition,score,Assay Name,Donor Name,Experimental Timepoint,T Cell Type,K562 Condition,Sorted Cell Group,Read Count
TACI,0.64824543588801,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,33507
TACI,0.2766490161176,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,27382
TACI,0.035265883662681,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,34466
TACI,0.351045704077108,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,70515
TACI,0.0228237402981511,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,33106
TACI,0.64824543588801,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,11955
TACI,0.2766490161176,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,32968
TACI,0.035265883662681,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,31199
TACI,0.351045704077108,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,37608
TACI,0.0228237402981511,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,28241
TACI,0.684947175459631,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,57651
TACI,0.391369269030079,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,21877
TACI,0.212526407340019,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,27163
TACI,0.208749569205954,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,23141
TACI,0.504929730479743,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,22515
TACI,0.452510969848267,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,33888
TACI,0.0,baseline,d2,0h,CD4,,prolif1_d2_0h_baseline_CD4_NA,14444
TACI,0.0,baseline,d2,0h,CD4,,prolif2_d2_0h_baseline_CD4_NA,14937
TACI,0.0410804984358423,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,11425
TACI,0.684947175459631,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,29582
TACI,0.391369269030079,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,25530
TACI,0.212526407340019,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,60420
TACI,0.208749569205954,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,19390
TACI,0.504929730479743,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,18687
TACI,0.452510969848267,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,17258
TACI,0.0410804984358423,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,13655
TACI,0.684947175459631,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,20444
TACI,0.391369269030079,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,9698
TACI,0.212526407340019,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,24721
TACI,0.208749569205954,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,14167
TACI,0.504929730479743,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,15149
TACI,0.452510969848267,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,19329
TACI,0.0410804984358423,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,74
TACI,0.684947175459631,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,18684
TACI,0.391369269030079,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,6043
TACI,0.212526407340019,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,27451
TACI,0.208749569205954,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,12303
TACI,0.504929730479743,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,9254
TACI,0.452510969848267,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,10165
TACI,0.0,CTV3,d2,24d,CD4,neg,prolif1_d2_24d_CTV3_CD4_neg,25035
TACI,0.0410804984358423,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,11378
TACI,0.443077178365963,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,23236
